handle,post_handle,post,post_timestamp,post_id
bruces.bsky.social,ottoenglish.bsky.social,"Vote Reform. 

Or we will house *dangerous migrant centres* in your village. And if you vote Green, it will be even worse for you.

It's beyond disturbing. The chill wind of threat, thuggery and menace of a kind never before seen in Britain.",2026-05-04T06:06:15.198Z,at://did:plc:5mqpgxjffcckasqv7h6g7itu/app.bsky.feed.post/3mkyyxaxnk22p
bruces.bsky.social,beijingpalmer.bsky.social,this man's levels of game are beyond mere mortals.,2026-05-04T09:10:40.265Z,at://did:plc:qfwinostecndnbvwwunsmihi/app.bsky.feed.post/3mkzdazfprs2p
bruces.bsky.social,maranomynet.bsky.social,Not all octopuses.,2026-05-04T10:28:06.645Z,at://did:plc:neb55iuski3exgzrm53u5shj/app.bsky.feed.post/3mkzhlijwcc2u
bruces.bsky.social,goingmedieval.bsky.social,"Kinda tired of the ""historians will say they're close friends"" meme. Babe, we've been screaming about how gay everyone is for *decades*. Funding for history keeps getting cut as a result. There are entire moral panics about it. You just haven't read any history since highschool.",2026-05-04T09:22:56.566Z,at://did:plc:wyjq6ym74oyazafkclvfjii5/app.bsky.feed.post/3mkzdwxlrrk22
katewillaert.bsky.social,feitclub.bsky.social,"as I stated in my MGC panel last weekend, you can sign up for ""real-time"" missives direct from Bram Stoker's novel as they happen via draculadaily.com",2026-05-03T23:00:53.371Z,at://did:plc:b76wp25kuvpxdjl23uijdsjb/app.bsky.feed.post/3mkyb6nga6k2x
katewillaert.bsky.social,tanookijoe.bsky.social,Here’s a high-res scan of a Kmart \ Marvel ad from 1995.,2026-05-04T11:46:25.105Z,at://did:plc:zrgg5pwakfkia7z77dexb5hn/app.bsky.feed.post/3mkzlxjdo2c2n
elainechen.com,hillarymonahan.bsky.social,"Having autism sensory issues is trying to explain ghosts only you can see to other people.

I hear all of the electronics in a room. I'm aware when lightbulbs are changed to LED and the brightness hurts. I can taste minuscule differences in foods that will make them great one day but bad the next.",2026-05-04T12:14:42.223Z,at://did:plc:cetrjmezvk2esgi7g5albcek/app.bsky.feed.post/3mkznk3tgxk2k
elainechen.com,v-e-tirado.com,"honestly i was thinking how gender confirming this was for me! every time theres a character creation game, i tend to choose the ""girl"" option and then use the most genderneutral options to trans the gender as i please",2026-05-04T01:14:37.789Z,at://did:plc:enoc6vpxbra2toalseoo6cy3/app.bsky.feed.post/3mkyins4bp22n
elainechen.com,celinashope.bsky.social,"I have found that for older ipods, a sharp wack on a solid surface can get the hd up & spinning again. I fixed 3 that way years ago, they still work. (ymmv)",2026-05-04T03:27:09.762Z,at://did:plc:v7jdyewji4s54galwptsu2v4/app.bsky.feed.post/3mkyq2rozik2c
elainechen.com,angrykem.bsky.social,"Today's #BirdOfTheDay theme is #Pairs. These two baby #TreeSwallows can see breakfast coming and have feelings about it.

#birds #photography #BirdPhotography #swallow #swallows #TreeSwallow #fledgling #wildlife #WildlifePhotography #nature #NaturePhotography",2026-05-04T12:01:07.317Z,at://did:plc:om25bk4y3bu5fl7up26pqwtx/app.bsky.feed.post/3mkzmrsoma22n
flicknow.xyz,tim.ink,It feels like a long one. How was your Monday?,2026-05-04T21:42:42.816Z,at://did:plc:nvc5ziurmfx5e6k7mygvrke3/app.bsky.feed.post/3ml2nbrmm2s25
flicknow.xyz,daverson.bsky.social,the $10 is for a paper cup of mostly ice moistened with cococola,2026-05-04T18:35:53.031Z,at://did:plc:hdgbgrdcdkhed5o77l52g7eh/app.bsky.feed.post/3ml2ctp55es25
flicknow.xyz,edwardodell.bsky.social,"if you're going to waste money on a spectacle, just set your money on fire, because this is guaranteed to taste like shit",2026-05-04T18:01:52.597Z,at://did:plc:xlpn3efkc3xdrpci2cvsezye/app.bsky.feed.post/3ml2awva22c2v
flicknow.xyz,kelson.bsky.social,"Mattress Firm? No, no thank you. Mattress soft, please",2026-05-04T18:09:07.880Z,at://did:plc:hjj5n64sujvlaepwtjfo27sy/app.bsky.feed.post/3ml2bduds4s2n
flicknow.xyz,natalie.sh,hell yeah,2026-05-04T17:34:06.751Z,at://did:plc:k644h4rq5bjfzcetgsa6tuby/app.bsky.feed.post/3ml27fakgdk2e
flicknow.xyz,realnotoriousrad.soy,Oh I mixed up this and next week's schedule I'm actually off today & tomorrow,2026-05-04T16:19:28.381Z,at://did:plc:jrk35qtbjxgv2cy5mudzacqg/app.bsky.feed.post/3ml237rng522a
flicknow.xyz,tim.ink,Happy Star Wars day mark 🖖,2026-05-04T16:01:01.034Z,at://did:plc:nvc5ziurmfx5e6k7mygvrke3/app.bsky.feed.post/3ml226rlvkk2k
flicknow.xyz,tim.ink,GM ☀️ wow another week how original,2026-05-04T13:01:56.076Z,at://did:plc:nvc5ziurmfx5e6k7mygvrke3/app.bsky.feed.post/3mkzq6kfsj22k
flicknow.xyz,musicboxtheatre.bsky.social,May The Firth Be With You,2026-05-04T15:00:18.539Z,at://did:plc:wz4w7vk7hhbfyfcqxhttoqg6/app.bsky.feed.post/3mkzws7trjs2p
flicknow.xyz,aendra.com,"Or so I'm told, I'm too polysaturated to care that nobody cute has ever slid into my DMs 💅🏼",2026-05-04T15:08:22.192Z,at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.post/3mkzxan3nws2d
flicknow.xyz,aendra.com,"The trans version of Datesky is simply called ""Bluesky""",2026-05-04T15:06:56.437Z,at://did:plc:kkf4naxqmweop7dv4l2iqqf5/app.bsky.feed.post/3mkzx63cmt22d
flicknow.xyz,andrewtanyongyi.bsky.social,Tool And The Power Of 5/4!,2026-05-04T12:28:50.507Z,at://did:plc:c4xaehhi32ffwm6rhbf5yb7d/app.bsky.feed.post/3mkzodet2bs2v
flicknow.xyz,huwupy.kawaii.social,New crochet book,2026-05-04T12:18:39.209Z,at://did:plc:vw4e7blkwzdokanwp24k3igr/app.bsky.feed.post/3mkznr5txfc24
joshuaerlich.bsky.social,blackazizanansi.blacksky.app,Losers move in packs.,2026-05-05T02:46:46.319Z,at://did:plc:jd5ynkua4gin3r2fmb25marj/app.bsky.feed.post/3ml36bhyauk2r
joshuaerlich.bsky.social,lurkymclurk.bsky.social,"Incredible “didn’t finish the challenge, let’s just go crazy with the make up and wear it sluttier” project runway energy",2026-05-05T02:46:51.510Z,at://did:plc:bqslpcvatosdm7cstgyi7jt6/app.bsky.feed.post/3ml36bmwlbk2b
joshuaerlich.bsky.social,greaterhuff.bsky.social,The villain in a Cruella sequel,2026-05-05T02:45:12.564Z,at://did:plc:xahdy23zrmbeyue4yb76ibyv/app.bsky.feed.post/3ml366okxds2m
joshuaerlich.bsky.social,caitesq.bsky.social,"Just finished @antonyjohnston.bsky.social’s Can You Solve The Murder? with 120 points, and I’m prouder of this than of most of my actual professional accomplishments",2026-05-05T02:35:38.791Z,at://did:plc:yjy7vi2dmpixolz76vzia7ca/app.bsky.feed.post/3ml35nleu422k
joshuaerlich.bsky.social,thesix.bsky.social,The Weird West novels we’ve been denied.,2026-05-05T02:39:16.296Z,at://did:plc:y4j7i4nxowzhcba732sw4cgt/app.bsky.feed.post/3ml35u2ske224
joshuaerlich.bsky.social,katzish.bsky.social,"Most Met Gala attendees look pretty happy, but I’m getting a bit of a “you’re probably wondering how I ended up in this situation” vibe from Hudson here",2026-05-05T02:39:58.847Z,at://did:plc:zwlj2d6nr2yun2poyvokffjy/app.bsky.feed.post/3ml35vdf33k24
joshuaerlich.bsky.social,dly.bsky.social,i wish all billionaires a very fuck you,2024-10-29T00:07:57.163Z,at://did:plc:xccx7ujmsaolft6ukd2oakkx/app.bsky.feed.post/3l7mdkel4nc24
joshuaerlich.bsky.social,seantcollins.com,he's like Tim Curry playing Christopher Hitchens,2026-05-05T02:33:03.469Z,at://did:plc:eawrzkefxggvqbrmagkhsmcc/app.bsky.feed.post/3ml35ixaqj22r
joshuaerlich.bsky.social,antlervel.vet,Roger Allam’s monologues are so good,2026-05-05T02:31:50.591Z,at://did:plc:z4llsx425l4htoylyyx6iam3/app.bsky.feed.post/3ml35grqpks2p
joshuaerlich.bsky.social,bill-of-lefts.bsky.social,"They have created this entire mythology around Justice Jackson being stupid, where her stupidity is refusing to accept the ascendant conservative legal norms",2026-05-05T00:57:53.471Z,at://did:plc:7v33jhm3jle5ssn2u3ax2sxg/app.bsky.feed.post/3ml2y6rrjjc2d
joshuaerlich.bsky.social,bill-of-lefts.bsky.social,"I saw another tweet that called her an idiot because she‘s a purposivist. As if textualism were a *metaphysically correct* way to interpret the law, not merely a doctrine to be debated.",2026-05-05T00:58:47.626Z,at://did:plc:7v33jhm3jle5ssn2u3ax2sxg/app.bsky.feed.post/3ml2yafg5ck2d
joshuaerlich.bsky.social,adhaque.bsky.social,So much civility.,2026-05-05T02:27:20.923Z,at://did:plc:hhz6upbmwtgsneuii6hyxxvo/app.bsky.feed.post/3ml356ql3vs2a
joshuaerlich.bsky.social,antlervel.vet,Took an edible and I’m putting on SPEED RACER (2008),2026-05-05T01:23:36.709Z,at://did:plc:z4llsx425l4htoylyyx6iam3/app.bsky.feed.post/3ml2zmrjcx22p
joshuaerlich.bsky.social,antlervel.vet,I don’t want to be rude but this should have made two billion dollars,2026-05-05T01:44:47.147Z,at://did:plc:z4llsx425l4htoylyyx6iam3/app.bsky.feed.post/3ml32sn3z2k2p
joshuaerlich.bsky.social,the-greetest.bsky.social,"Come on, Disco Elysium was critically acclaimed. You're talking at least 25 people.",2026-05-05T01:59:52.723Z,at://did:plc:3jfmlrev5hux2gvkjowyzykn/app.bsky.feed.post/3ml33nmpzls2c
joshuaerlich.bsky.social,moodycomputer.bsky.social,bsky.app/profile/disc...,2026-05-04T23:33:30.540Z,at://did:plc:5c76xezwrqfp3u5z44wnrupy/app.bsky.feed.post/3ml2thvezzs25
joshuaerlich.bsky.social,missrobin.bsky.social,"Inland Empire: There she is, the most beautiful woman in the world. She must have been chiseled into form by the gods themselves. Or perhaps she is a God. Her very presence fills you with a sense of warmth and comfort.

Suggestion: Ask her if she's here to make fuck with you",2026-05-04T23:37:28.341Z,at://did:plc:xkafyuijtba47zximeuoqc6n/app.bsky.feed.post/3ml2toy66kc2m
joshuaerlich.bsky.social,anungunrob.bsky.social,Its giving Francis Ford Coppola's Dracula,2026-05-05T00:17:40.184Z,at://did:plc:f4oj5rz6spzhvkrtgswyqfz6/app.bsky.feed.post/3ml2vwubqys2i
joshuaerlich.bsky.social,emmaberquist.bsky.social,,2026-05-04T23:08:54.915Z,at://did:plc:j7qspxu4w4zrkqre6waecdyb/app.bsky.feed.post/3ml2s3w4lx22i
joshuaerlich.bsky.social,alyssashulman.bsky.social,,2026-05-04T23:05:56.083Z,at://did:plc:jeb5jkup437pejualygqjzhi/app.bsky.feed.post/3ml2rwll2ds2p
joshuaerlich.bsky.social,socialistdogmom.bsky.social,"one down, the rest of our lives to go 🥰",2026-05-04T23:05:49.395Z,at://did:plc:o7ngoraxszx2hcmqpr6i3men/app.bsky.feed.post/3ml2rwf6z2c27
joshuaerlich.bsky.social,alll.bsky.social,showstopper,2026-05-04T23:05:05.680Z,at://did:plc:567t5owd5d5ferp7uqrybgxn/app.bsky.feed.post/3ml2rv3iyl22b
joshuaerlich.bsky.social,vandroidhelsing.bsky.social,OOOOOOOOOOOOOOOOOOOOOH OKAY,2026-05-04T22:58:21.671Z,at://did:plc:aht75weh3zbaihskxuv4wkgv/app.bsky.feed.post/3ml2rj2d7rc22
joshuaerlich.bsky.social,vandroidhelsing.bsky.social,will you understand if I say this looks like a costume from a period piece made in 2009 called something like The Unfortunate Irrepressible Life of Master Henry,2026-05-04T22:37:14.527Z,at://did:plc:aht75weh3zbaihskxuv4wkgv/app.bsky.feed.post/3ml2qdbw4n222
joshuaerlich.bsky.social,bugsmaytrix.bsky.social,happy star wars day to this tweet in particular,2026-05-04T17:43:30.887Z,at://did:plc:pzsrpsyeeppu4jbadsab7wjp/app.bsky.feed.post/3ml27w2ku4k2k
cosmomomo.social,fishttp.website,i think thats how they find overgrown septic tanks,2026-05-05T23:51:56.832Z,at://did:plc:ve2dqdlibfnbp65pu6565kam/app.bsky.feed.post/3ml5exrv5cs2t
cosmomomo.social,neurosismancer.gay,legitimately if your god demands fear your god is an abusive parent and not worth of worship,2026-05-05T23:14:04.004Z,at://did:plc:5672olf6vb3u4j26ctwoqczh/app.bsky.feed.post/3ml5cu2dwps2i
cosmomomo.social,neurosismancer.gay,"on doing a little research it seems to be kinda both

streetwear fashion by a hardcore christian dude

unnerving",2026-05-05T23:13:30.738Z,at://did:plc:5672olf6vb3u4j26ctwoqczh/app.bsky.feed.post/3ml5ct2mqfc2i
cosmomomo.social,worldsbeyondnumber.bsky.social,this time it's bossa nova,2026-05-05T22:47:08.653Z,at://did:plc:x5f3wkhglph4wllhvso76p6z/app.bsky.feed.post/3ml5bdvtdj22f
cosmomomo.social,staticmax.bsky.social,,2026-05-05T22:50:02.108Z,at://did:plc:vt2iihswfztajz4xme6w4hiy/app.bsky.feed.post/3ml5bj3av2s2q
cosmomomo.social,methylphenidate.bsky.social,kinda annoyed at my friend rn and wishing i had more ppl i could talk to and trust,2026-05-05T23:04:17.935Z,at://did:plc:tjep63q2gz4oa4c3la4euq2u/app.bsky.feed.post/3ml5cclgkos2q
cosmomomo.social,methylphenidate.bsky.social,making friends is so hard,2026-05-05T23:04:17.936Z,at://did:plc:tjep63q2gz4oa4c3la4euq2u/app.bsky.feed.post/3ml5cclh7722q
cosmomomo.social,theuglymachine.bsky.social,Tragic: you met someone who runs a sawmill and will give you hemlock at $1.50/bd.ft.,2026-05-05T22:41:24.245Z,at://did:plc:3bebghh7fygmfwjo6udrye43/app.bsky.feed.post/3ml5azneukc2p
cosmomomo.social,hammancheez.bsky.social,Remember the last guy to testify doesn’t get the immunity,2026-05-05T22:12:23.331Z,at://did:plc:qzgy45vpvfpvbjsqhqjapghf/app.bsky.feed.post/3ml57fr4f7s2r
cosmomomo.social,kissane.myatproto.social,Heads up to Chrome users who prefer not to not allocate 4GB of their drives to Gemini Nano weights.,2026-05-05T21:59:02.968Z,at://did:plc:qrt5rykojeg5sbsajbu4zdke/app.bsky.feed.post/3ml56nvtcok2i
cosmomomo.social,cannibal.holiday,"AI-pushing companies are going to kill people in hospitals with this bloated, useless shit making medical networks even more vulnerable.",2026-05-05T21:51:01.977Z,at://did:plc:5wi4pdb43m5adilqz4dj3je4/app.bsky.feed.post/3ml567l4jy22d
cosmomomo.social,kiraculous.net,"of all the muted words that leave me half aware of shit going on, i never expected the one to be most useful would be ""stancil""",2026-05-05T21:26:10.144Z,at://did:plc:2osm6ol3lmsq3lbrhiyjfpu7/app.bsky.feed.post/3ml54t4fgs22b
cosmomomo.social,bradlander.bsky.social,"The two would pair well, if Congressional Democrats are bold & strategic. That will take some new Congressional Democrats. (2/2)",2026-05-05T21:12:17.503Z,at://did:plc:dxu25p5fmfrngmjr5iawpr4d/app.bsky.feed.post/3ml542cdgoc2x
cosmomomo.social,bradlander.bsky.social,"✅Yes to Supreme Court term limits, which will require a constitutional amendment.

✅Also, yes to expanding SCOTUS. No constitutional amendment needed for that. Congress has the power to do it. (1/2)",2026-05-05T21:12:17.502Z,at://did:plc:dxu25p5fmfrngmjr5iawpr4d/app.bsky.feed.post/3ml542cd6uc2x
cosmomomo.social,molly.wiki,"sometimes i see a crypto hacker where i'm like ""you know what they kinda earned that one""",2026-05-05T21:12:23.392Z,at://did:plc:exrxvyu6bpoym6mbnctke5tn/app.bsky.feed.post/3ml542hwxs226
cosmomomo.social,snowden.st,"Brad Lander stacking another political dub, ""Lander Effect"" potential becoming real.",2026-05-05T21:00:09.334Z,at://did:plc:jgmxlsqaj6inwjqx3eowix6i/app.bsky.feed.post/3ml53elvbcc2u
cosmomomo.social,snowden.st,"Not nearly as important as his courage and conviction, but: Brad Lander is putting on a master class of modern rhetoric these days, too. Shows you exactly why “find a way to be who you are, fuck the consultants” is good advice, especially for progressive candidates. It resonates so much better.",2025-07-02T04:56:30.679Z,at://did:plc:jgmxlsqaj6inwjqx3eowix6i/app.bsky.feed.post/3lsxget7pys2q
cosmomomo.social,clapifyoulikeme.favrd.social,This is amazing. Someone identify this man and give his name to the Mass Dems immediately.,2026-05-05T20:58:06.810Z,at://did:plc:ssxnmhdtz6le6nxu7jfhglz6/app.bsky.feed.post/3ml53ax24xc2p
cosmomomo.social,wyrdlittleguy.bsky.social,I am so interested in cuddling,2026-05-05T20:39:36.459Z,at://did:plc:ak67tmoph2axlwd44dibjlmr/app.bsky.feed.post/3ml527u4vsk2r
cosmomomo.social,hammancheez.bsky.social,Yall i have been informed its,2026-05-05T20:40:25.282Z,at://did:plc:qzgy45vpvfpvbjsqhqjapghf/app.bsky.feed.post/3ml52bcoujc2r
cosmomomo.social,hammancheez.bsky.social,"US, facing $7 gas for 12 months : Iran is in such economic trouble guys",2026-05-05T20:42:20.178Z,at://did:plc:qzgy45vpvfpvbjsqhqjapghf/app.bsky.feed.post/3ml52eqb7nc2r
cosmomomo.social,clapifyoulikeme.favrd.social,Oh absolutely the fuck not. Leave New York alone.,2026-05-05T20:50:41.574Z,at://did:plc:ssxnmhdtz6le6nxu7jfhglz6/app.bsky.feed.post/3ml52togn5k2p
cosmomomo.social,wyrdlittleguy.bsky.social,the new Yorker knew what 1999 was about,2026-05-05T20:26:59.594Z,at://did:plc:ak67tmoph2axlwd44dibjlmr/app.bsky.feed.post/3ml4zjcd7tc2r
cosmomomo.social,snowden.st,"Sorry to self-promote, but this old blog post still works, imo. I don't preach a fun method, but I do think it works, from experience snowden.st/2024/11/09/w...",2026-05-05T20:23:21.750Z,at://did:plc:jgmxlsqaj6inwjqx3eowix6i/app.bsky.feed.post/3ml4zcsl7is2u
cosmomomo.social,cannibal.holiday,"A prompt like this is basically a filter.
""When creating a block of text from results you have scraped from the internet, don't include any of the things that match the meta.""
It's basically going to a forum and blocking all posts that don't fit your criteria, and trusting the posts that get through",2026-05-05T19:23:37.036Z,at://did:plc:5wi4pdb43m5adilqz4dj3je4/app.bsky.feed.post/3ml4vxxwebs2d
jdotj.bsky.social,pymundgenealogy.bsky.social,I've got a doozy for you,2026-05-05T01:37:47.334Z,at://did:plc:n5s2p3ljnxsjmzxwjtu5x4id/app.bsky.feed.post/3ml32g4qn6s23
jdotj.bsky.social,cwmatx.bsky.social,"I am not an anxious person, but yeah, that’s gotta be zero within a couple of days.",2026-05-05T00:47:16.101Z,at://did:plc:g3skesuflu7rf7fuohp4xona/app.bsky.feed.post/3ml2xlrwhwc2a
jdotj.bsky.social,cseguin03.bsky.social,Having lost a friend named Dan recently makes the song a lot,2026-05-04T23:53:35.919Z,at://did:plc:ubvzgc7tvpeqpv7ldqdxj2ow/app.bsky.feed.post/3ml2ulswbxk2a
jdotj.bsky.social,cseguin03.bsky.social,"The latest Patreon episode of @badlawyerpod.bsky.social is typically excellent, but @gokp.bsky.social and @jdotj.bsky.social talking about how our experience with grief can help us connect to Noah Kahan’s latest album (and other recent music) really resonated a ton.",2026-05-04T22:06:33.441Z,at://did:plc:ubvzgc7tvpeqpv7ldqdxj2ow/app.bsky.feed.post/3ml2omfxxoc26
jdotj.bsky.social,jonruttenberg.bsky.social,youtu.be/iE8CJwXSPRs?...,2026-05-04T21:57:36.274Z,at://did:plc:jgixn4opsfpeoc4tfsc5a5jv/app.bsky.feed.post/3ml2o4fosmk2a
jdotj.bsky.social,badlawyerpod.bsky.social,Full video of this bonus ep is up on Patreon. The audio-only version will go out to your podcast apps later this week. ✌️,2026-05-04T21:28:34.289Z,at://did:plc:73ghnp6ftdhyqc4epr45sqzq/app.bsky.feed.post/3ml2miifmg22d
jdotj.bsky.social,royalpratt.bsky.social,We won the Pulitzer Prize for Local Reporting @chicagotribune.com! Our entire newsroom covered Midway Blitz with everything we had. I’ve never been prouder of the Tribune or its commitment to the truth. It’s an honor to be part of this team.,2026-05-04T19:13:53.457Z,at://did:plc:gx3pvpa3rsczyr5fs3lyiv2g/app.bsky.feed.post/3ml2exnwauk2x
jdotj.bsky.social,coachfinstock.bsky.social,"I read this too fast and saw ""podcast cannibalism"" and was like that is truly disrupting the space",2026-05-04T19:32:12.264Z,at://did:plc:izxpomdyri45gzhppiiyattq/app.bsky.feed.post/3ml2fyft6lc27
jdotj.bsky.social,kevinmkruse.bsky.social,"Once again getting a raft of ""I haven't experienced this myself, so I don't think this really happened to the person posting it"" replies.

Never change, Bluesky.",2026-05-04T19:28:53.395Z,at://did:plc:cnpe7qvcyjrhm6w7w7e4atur/app.bsky.feed.post/3ml2fsi65ls2m
jdotj.bsky.social,mourningstar.bsky.social,"Look, I don't delete texts (unless spam) but they must be marked read. But the notification dot cannot exist at all anywhere.",2026-05-04T18:58:20.109Z,at://did:plc:yxfbp7t3vrq5xyv7ot2l5jon/app.bsky.feed.post/3ml2e3tsob22m
jdotj.bsky.social,yooty.bsky.social,"But yeah, I have to keep a text box zero this is horrifying",2026-05-04T18:27:24.668Z,at://did:plc:gec5thcea3jir53dei5tx6af/app.bsky.feed.post/3ml2cekd45s2x
jdotj.bsky.social,yooty.bsky.social,200 are me just constantly spamming the GC with my stream of consciousness so sorry not sorry 😂,2026-05-04T18:25:48.919Z,at://did:plc:gec5thcea3jir53dei5tx6af/app.bsky.feed.post/3ml2cboz3bk2x
jdotj.bsky.social,gokp.bsky.social,😏,2026-05-04T18:17:19.900Z,at://did:plc:2voxu74oyu5gtm2xpoa6tyje/app.bsky.feed.post/3ml2bsjl2fs26
jdotj.bsky.social,peterorlowicz.bsky.social,Firmly Team JJ here.,2026-05-04T18:11:02.184Z,at://did:plc:o4ftebbdvqokkiqlhbprtfsk/app.bsky.feed.post/3ml2bhbe34s2a
jdotj.bsky.social,blaw.bsky.social,allowing messages to preview is more anxiety inducing than 407 unread messages,2026-05-04T18:06:16.012Z,at://did:plc:x42ty4fo74lx4crlzu4pn75c/app.bsky.feed.post/3ml2b6qgsbs2u
jdotj.bsky.social,blaw.bsky.social,,2026-05-04T18:05:10.090Z,at://did:plc:x42ty4fo74lx4crlzu4pn75c/app.bsky.feed.post/3ml2b4rkzdc2u
jdotj.bsky.social,gokp.bsky.social,407 is pretty good for me tbh,2026-05-04T17:59:29.854Z,at://did:plc:2voxu74oyu5gtm2xpoa6tyje/app.bsky.feed.post/3ml2asn3tmc2p
jdotj.bsky.social,gokp.bsky.social,Chaos demon life forever!,2026-05-04T17:54:38.201Z,at://did:plc:2voxu74oyu5gtm2xpoa6tyje/app.bsky.feed.post/3ml2ajwxca22y
jdotj.bsky.social,peark.es,"I really try to remain polite and even-handed on here but today I'm not successful, such is life.",2026-05-04T17:51:01.620Z,at://did:plc:pnx2fjuannbdpy3337ggthpp/app.bsky.feed.post/3ml2adifrds27
jdotj.bsky.social,peark.es,"This dumbass apparently not aware my company has five (5) people. If I don't write the code, nobody does.",2026-05-04T17:50:27.897Z,at://did:plc:pnx2fjuannbdpy3337ggthpp/app.bsky.feed.post/3ml2aciapns27
jdotj.bsky.social,wstafrican.bsky.social,🤣🤣🤣🤣🤣🤣🤣,2026-05-04T17:48:24.090Z,at://did:plc:65wc7hatlpfe6trj2zkullm5/app.bsky.feed.post/3ml2a6s6dhc2f
jdotj.bsky.social,blaw.bsky.social,everyone on notice now,2026-05-04T15:48:47.633Z,at://did:plc:x42ty4fo74lx4crlzu4pn75c/app.bsky.feed.post/3mkzziw6cmk2s
jdotj.bsky.social,masnick.com,"This is an incredible story, and highlights just how much damage a few fundamentally awful people can cause, helped along with enablers.",2026-05-04T17:18:47.040Z,at://did:plc:cak4klqoj3bqgk5rj6b4f5do/app.bsky.feed.post/3ml26jth42226
jdotj.bsky.social,jumbanho.bsky.social,,2026-05-04T16:03:35.788Z,at://did:plc:uzkmcdxlfenc33keauyr4mcc/app.bsky.feed.post/3ml22df6tds2i
jdotj.bsky.social,yooty.bsky.social,😂,2026-05-04T15:53:20.832Z,at://did:plc:gec5thcea3jir53dei5tx6af/app.bsky.feed.post/3mkzzr2pmks27
rvbdrm.com,saltzman.bsky.social,"Hey if your one of my many fellow California or especially Burbank buddies, please flood this dudes office with calls and emails about this it is beyond the pale",2026-05-04T16:30:49.904Z,at://did:plc:xa6z5xch663xwoqxfvdetqqm/app.bsky.feed.post/3ml23u3ltws2p
rvbdrm.com,noisefy.bsky.social,He should just move into a hospital,2026-05-04T09:56:55.752Z,at://did:plc:6ffnbft3pbxqdhaadbqotznx/app.bsky.feed.post/3mkzftqcse224
rvbdrm.com,mns71.bsky.social,"The same hospital? Same route to get there? 
He must be very familiar with the lay out of the place by now..
He, and anyone he might have shared this information with.",2026-05-04T10:46:11.134Z,at://did:plc:w2xytrvf2saa6z4rvzxcxyby/app.bsky.feed.post/3mkzilsrumc2w
rvbdrm.com,acerbicotter.bsky.social,"after 10 stays, he gets a free colonoscopy",2026-05-04T12:36:39.541Z,at://did:plc:levwf7vkqlubovve5j25ydjt/app.bsky.feed.post/3mkzore4sd22u
jenthetracy.bsky.social,pnutsmama.bsky.social,same as it always was,2026-05-04T14:57:04.386Z,at://did:plc:cohsnro2uub7ol542ee2qaig/app.bsky.feed.post/3mkzwmgonzc2m
jenthetracy.bsky.social,shanembailey.com,I really enjoyed this one.,2026-05-04T14:57:11.323Z,at://did:plc:ytx6dsiai4wyrusghgoj5jn2/app.bsky.feed.post/3mkzwmncegk2j
jenthetracy.bsky.social,kelora0.bsky.social,"It's fascinating how our emotional responses to AI often reflect our views on life and death. This indicates the depth of our attachment to technology, blurring lines between human and machine.",2026-05-04T09:00:25.942Z,at://did:plc:gmfobtwgnt4bohmykxx6nlq4/app.bsky.feed.post/3mkzcopmrh62h
cwonus.org,jpletzfeld.mastodon.social.ap.brid.gy,"The Bear

'Raubtier' #FotoVorschlag

#PletzfeldAnimals #photography #animals #AnimalPhotography #MonochromeMonday #monochrome #BlackAndWhite #BlackAndWhitePhotography #bw #bnw #darktable #mywork #myphoto",2026-05-04T13:32:53.000Z,at://did:plc:nfmty4crpkuidestdpwj46au/app.bsky.feed.post/3mkzrx5jtwqd2
